id_estudiante,genero,edad,institucion,tipo_institucion,codigo_postal,promedio,asistencia_pct,cohorte,estatus,motivo_desercion,zona,vulnerabilidad_transporte_pct,tasa_desempleo_local_pct,probabilidad_desercion_pct,riesgo_ml
EST001,M,22,FES Iztacala UNAM (Zona de Influencia Coacalco),publica,55714,6.6,73.5,2023-1,Activo,N/A (Activo Sin Riesgo),Potrero La Laguna,28.5,5.1,8.0,BAJO
EST002,M,24,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55717,6.2,77.8,2023-2,Activo,N/A (Activo Sin Riesgo),Bosques de Coacalco,15.0,3.2,12.0,BAJO
EST003,M,24,Universidad Lucerna Coacalco,privada,55700,7.7,84.5,2023-1,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,4.0,BAJO
EST004,M,19,UVM Campus Hispano,privada,55717,8.0,71.6,2024-1,Baja,Distancia y Transporte (Coacalco/CDMX),Bosques de Coacalco,15.0,3.2,58.0,MEDIO
EST005,M,24,Universidad Lucerna Coacalco,privada,55712,6.1,81.3,2024-1,Activo,N/A (Activo Sin Riesgo),Los Héroes Coacalco,31.0,5.5,4.0,BAJO
EST006,F,25,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55700,9.0,80.8,2023-2,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,8.0,BAJO
EST007,F,21,UVM Campus Hispano,privada,55700,7.3,86.5,2023-2,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,8.0,BAJO
EST008,F,20,Universidad Lucerna Coacalco,privada,55700,6.5,86.8,2023-2,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,2.0,BAJO
EST009,F,25,Universidad Lucerna Coacalco,privada,55700,7.1,93.7,2023-2,Baja,Incompatibilidad Horario Laboral,San Francisco Coacalco,22.5,4.2,58.0,MEDIO
EST010,M,23,Universidad Lucerna Coacalco,privada,55714,9.0,60.7,2023-1,Activo,N/A (Activo Sin Riesgo),Potrero La Laguna,28.5,5.1,10.0,BAJO
EST011,F,20,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55714,8.7,85.4,2023-2,Baja,Distancia y Transporte (Coacalco/CDMX),Potrero La Laguna,28.5,5.1,66.0,ALTO
EST012,M,19,FES Iztacala UNAM (Zona de Influencia Coacalco),publica,55714,8.8,99.5,2024-1,Activo,N/A (Activo Sin Riesgo),Potrero La Laguna,28.5,5.1,16.0,BAJO
EST013,M,19,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55712,6.3,92.3,2023-1,Activo,N/A (Activo Sin Riesgo),Los Héroes Coacalco,31.0,5.5,6.0,BAJO
EST014,F,19,Universidad Lucerna Coacalco,privada,55717,6.2,85.6,2023-2,Activo,N/A (Activo Sin Riesgo),Bosques de Coacalco,15.0,3.2,12.0,BAJO
EST015,F,18,Universidad Lucerna Coacalco,privada,55700,8.1,94.2,2024-1,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,18.0,BAJO
EST016,M,19,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55710,9.7,99.4,2024-1,Activo,N/A (Activo Sin Riesgo),Villa de las Flores,18.0,3.8,8.0,BAJO
EST017,M,24,FES Iztacala UNAM (Zona de Influencia Coacalco),publica,55712,7.8,62.6,2023-2,Activo,N/A (Activo Sin Riesgo),Los Héroes Coacalco,31.0,5.5,6.0,BAJO
EST018,M,21,FES Iztacala UNAM (Zona de Influencia Coacalco),publica,55710,6.6,68.4,2023-2,Activo,N/A (Activo Sin Riesgo),Villa de las Flores,18.0,3.8,2.0,BAJO
EST019,M,21,TESCo (Tecnológico de Estudios Superiores de Coacalco),publica,55700,9.7,89.3,2024-1,Activo,N/A (Activo Sin Riesgo),San Francisco Coacalco,22.5,4.2,6.0,BAJO
EST020,F,21,FES Iztacala UNAM (Zona de Influencia Coacalco),publica,55714,6.5,82.7,2024-1,Activo,N/A (Activo Sin Riesgo),Potrero La Laguna,28.5,5.1,6.0,BAJO
